Species,Data_source,Predictor,Distributional_range,Model_score
Accipiter gentilis,standardized,climate-based,IV,0.82
Accipiter gentilis,standardized,combination,IV,0.84
Accipiter gentilis,standardized,habitat-based,IV,0.8
Accipiter nisus,standardized,climate-based,IV,0.82
Accipiter nisus,standardized,combination,IV,0.82
Accipiter nisus,standardized,habitat-based,IV,0.82
Acrocephalus arundinaceus,standardized,climate-based,IV,0.86
Acrocephalus arundinaceus,standardized,combination,IV,0.83
Acrocephalus arundinaceus,standardized,habitat-based,IV,0.8
Acrocephalus melanopogon,standardized,climate-based,I,0.96
Acrocephalus melanopogon,standardized,combination,I,0.94
Acrocephalus melanopogon,standardized,habitat-based,I,0.87
Acrocephalus schoenobaenus,standardized,climate-based,I,0.96
Acrocephalus schoenobaenus,standardized,combination,I,0.95
Acrocephalus schoenobaenus,standardized,habitat-based,I,1
Acrocephalus scirpaceus,standardized,climate-based,IV,0.84
Acrocephalus scirpaceus,standardized,combination,IV,0.82
Acrocephalus scirpaceus,standardized,habitat-based,IV,0.81
Actitis hypoleucos,standardized,climate-based,IV,0.95
Actitis hypoleucos,standardized,combination,IV,0.99
Actitis hypoleucos,standardized,habitat-based,IV,1
Aegithalos caudatus,standardized,climate-based,IV,0.85
Aegithalos caudatus,standardized,combination,IV,0.85
Aegithalos caudatus,standardized,habitat-based,IV,0.84
Aegolius funereus,standardized,climate-based,I,1
Aegolius funereus,standardized,combination,I,0.99
Aegolius funereus,standardized,habitat-based,I,0.99
Aegypius monachus,standardized,climate-based,II,0.94
Aegypius monachus,standardized,combination,II,0.95
Aegypius monachus,standardized,habitat-based,II,0.88
Alauda arvensis,standardized,climate-based,IV,0.89
Alauda arvensis,standardized,combination,IV,0.87
Alauda arvensis,standardized,habitat-based,IV,0.85
Alcedo atthis,standardized,climate-based,IV,0.9
Alcedo atthis,standardized,combination,IV,0.86
Alcedo atthis,standardized,habitat-based,IV,0.78
Alectoris rufa,standardized,climate-based,IV,0.9
Alectoris rufa,standardized,combination,IV,0.89
Alectoris rufa,standardized,habitat-based,IV,0.86
Anas acuta,standardized,climate-based,I,0.99
Anas acuta,standardized,combination,I,0.99
Anas acuta,standardized,habitat-based,I,0.97
Anas clypeata,standardized,climate-based,II,0.87
Anas clypeata,standardized,combination,II,0.88
Anas clypeata,standardized,habitat-based,II,0.82
Anas crecca,standardized,climate-based,I,0.98
Anas crecca,standardized,combination,I,1
Anas crecca,standardized,habitat-based,I,1
Anas platyrhynchos,standardized,climate-based,IV,0.88
Anas platyrhynchos,standardized,combination,IV,0.82
Anas platyrhynchos,standardized,habitat-based,IV,0.79
Anas querquedula,standardized,climate-based,I,0.94
Anas querquedula,standardized,combination,I,0.92
Anas querquedula,standardized,habitat-based,I,0.99
Anas strepera,standardized,climate-based,II,0.88
Anas strepera,standardized,combination,II,0.87
Anas strepera,standardized,habitat-based,II,0.82
Anthus campestris,standardized,climate-based,IV,0.88
Anthus campestris,standardized,combination,IV,0.87
Anthus campestris,standardized,habitat-based,IV,0.83
Anthus pratensis,standardized,climate-based,I,0.86
Anthus pratensis,standardized,combination,I,0.87
Anthus pratensis,standardized,habitat-based,I,0.88
Anthus spinoletta,standardized,climate-based,II,0.98
Anthus spinoletta,standardized,combination,II,0.97
Anthus spinoletta,standardized,habitat-based,II,0.98
